repo,commit,refactoring
commons-io,9f68c1f22ed9f9b7abb5f70349154d4557298404,ReplaceTryCatchWithAssertThrows
commons-io,61c1b0d16a65a0a8d414b46b470166a7ffb35b28,AddAssertionMessage
commons-io,a8d564fc4904a3678d0bd41d26d7dc7c5907aece,AddAssertionMessage
commons-io,498cd03984bd0cd191a38ecfc03c46520df83f6b,AddAssertionMessage
commons-io,86fdbb2a420064c0c6b33bb2466ab8bd4df080a3,ReplaceAssertTrueWithAssertFalse
commons-io,86fdbb2a420064c0c6b33bb2466ab8bd4df080a3,AddAssertionMessage
commons-io,01e63c28a8052c71bb2a095f628464f524872f4c,RemoveIgnoredTest
commons-io,87da775d2f0aa9d3382ac30b9dd7e793c3c6f9e5,AddAssertionMessage
commons-io,2ec5e0acd3d3bee16d9df3f78aa6746f68928bcf,RenameTestClass
commons-io,b8242057cd8bbb5af2fe19a5354fec8e31b86032,AddAssertionMessage
commons-io,8ca72fde228b8f78f39e7ca96e82d263a3141808,RemoveRedundantPrint
commons-io,471e4b3697ec80b58c307132a0b41ecff4bf4aff,AddAssertionMessage
commons-io,186e999374f0ff249b37d75100f05b7c7acb14b7,AddAssertionMessage
commons-io,0cee29aa4c1818963ed1a55058219282e89d7488,ReplaceTryCatchWithAssertThrows
commons-io,0cee29aa4c1818963ed1a55058219282e89d7488,AddAssertionMessage
commons-io,8a786abb5e2cc04568517f1f8c053578c3e313a6,ReplaceTryCatchWithAssertThrows
commons-io,5d3b1955c48dc08bcaeab4a9a71a92cf1189b6f2,ReplaceTryCatchWithAssertThrows
commons-io,4a514d3306b55b3667d1449ebd4cbe5f19dd7af0,ReplaceTryCatchWithAssertThrows
commons-io,4a514d3306b55b3667d1449ebd4cbe5f19dd7af0,ReplaceAssertTrueWithAssertFalse
commons-io,4a514d3306b55b3667d1449ebd4cbe5f19dd7af0,AddAssertionMessage
commons-io,e0a47910754255423b9fbac9eede16e5f74ee455,ReplaceTryCatchWithAssertThrows
commons-io,e0a47910754255423b9fbac9eede16e5f74ee455,ReplaceAssertTrueWithAssertFalse
commons-io,e0a47910754255423b9fbac9eede16e5f74ee455,AddAssertionMessage
commons-io,ca174af0b2e0401cf8f454908b955bff58808eee,ReplaceTryCatchWithAssertThrows
commons-io,ca174af0b2e0401cf8f454908b955bff58808eee,ReplaceAssertTrueWithAssertFalse
commons-io,ca174af0b2e0401cf8f454908b955bff58808eee,AddAssertionMessage
commons-io,1563bfb08b8ac419b5dbff539d29996f759ac121,AddAssertionMessage
commons-io,89eb2ec68dec13965300d5932fd6528b5ae7e60c,ReplaceTryCatchWithAssertThrows
commons-io,89eb2ec68dec13965300d5932fd6528b5ae7e60c,ReplaceAssertTrueWithAssertFalse
commons-io,683590f0a0fbb83d03e4b97813cbf2e302f4283d,RenameTestClass
commons-io,62edd62730065e78f4db0bfaac577684bf9c3f2a,RenameTestClass
commons-io,8b6d4969ffb55bf7301a44a8156f02b0213e6d68,ReplaceTryCatchWithAssertThrows
commons-io,35f71a77f85f61895521c5316897a2251012e2b8,AddAssertionMessage
commons-io,4f471329d507e40e66c78a1c8b52969223375fb8,ReplaceTryCatchWithAssertThrows
commons-io,a6af21186677821755f443fa69d9c46f8ff32029,ReplaceTryCatchWithAssertThrows
commons-io,4cede9acdd94448c72abc37acfd2847228d66443,ReplaceTryCatchWithAssertThrows
commons-io,3ea9a2ec77a4d8d559e8e568681cd9c155ef1dca,ReplaceTryCatchWithAssertThrows
commons-io,381265c3ebd6fe1bacbd45c4e84b467e68a9ba90,ReplaceTryCatchWithAssertThrows
commons-io,0b5b8c65c76685c331bfff3cdafcfcd97c9826c0,AddAssertionMessage
commons-io,e2066491ac6c42c99dba127bb3cac38d9c3db7e8,AddAssertionMessage
commons-io,54858b5f9ffa16b62527c12c672013ca3c191eae,AddAssertionMessage
commons-io,291a35ef8be015be252664e2cbde0af741cd82f1,AddAssertionMessage
commons-io,e3bee443fae7f4c74985a96db1fb8a7014186fa5,ReplaceTryCatchWithAssertThrows
commons-io,382e48042f384cde9af5cdfc63e898ca46aaba1f,ReplaceTryCatchWithAssertThrows
commons-io,e8afd478fb060f677c246b54aa27516b28075995,AddAssertionMessage
commons-io,5fbc4964bcb351cab189faaa042ac79969a66716,ReplaceTryCatchWithAssertThrows
commons-io,154cb7648ffde863b2548eba10b330c51a103c6a,AddAssertionMessage
commons-io,437392898ad91b3234da87d9225abadb4ca0ebad,RenameTestClass
commons-io,3798a6b504d3c8d46dcb50289e71741c7f029472,RenameTestClass
commons-io,5657f8bc5ffcd8fa7128a3c8214dd06e34b013e1,RenameTestClass
commons-io,eae791d517e79254474e2a5332ed83bd84657237,ReplaceTryCatchWithAssertThrows
commons-io,eae791d517e79254474e2a5332ed83bd84657237,AddAssertionMessage
commons-io,eae791d517e79254474e2a5332ed83bd84657237,RemoveIgnoredTest
commons-io,8d1b994a15d0ac85ecb45c87b1ba3defd02972ab,RemoveRedundantPrint
commons-io,dcf6e82f8610b89075e00711e186792053928c7e,RemoveRedundantPrint
commons-io,6e2ac190ce379fb19acb8b5cf06c0a1b25d19059,RemoveRedundantPrint
commons-io,7379cbb2fe7b69aa871127e64a51763c445a570e,RenameTestClass
commons-io,928da12b15c987e16b2481c43614c8e868be1c04,RenameTestClass
commons-io,4d49a1953e287fffbd10ba2707ed1b3806eef21b,AddAssertionMessage
commons-io,09d8687ba1612f43769d72489a5c89d40d168718,AddAssertionMessage
commons-io,cbc5a146154ada255d491d6509497d0d57bad336,RemoveIgnoredTest
commons-io,5d3269b1c5d2bfed8720814b439830a00f64b36a,RemoveIgnoredTest
commons-io,7197abfd17530a5417097268a1e18a685edc5889,RemoveIgnoredTest
commons-io,05fdca32c087afeff5f0f0901c52cfb1264a74cd,RemoveIgnoredTest
commons-io,5f3e1cecb76c4eef043607ee231f50d7d68c9108,RemoveIgnoredTest
commons-io,9f0c54042226e1b19f4eb48b8f09885ac2aa221a,RemoveIgnoredTest
commons-io,a39385a500fc0e8993d967a8025b931d3337ea04,RemoveIgnoredTest
commons-io,6bfff9055ba3db5df39445712f28f3142de2f92d,RemoveIgnoredTest
commons-io,67d7f975f96186518f045249410794eb073df1c2,AddAssertionMessage
commons-io,990feacd8abe2d7bca65c15b681a543f7318abda,RemoveIgnoredTest
commons-io,688efaad572cdb911f35debd0ddf6c74d4383626,RemoveIgnoredTest
commons-io,e4c65e5424fe7a7c9795348fc855d42a247f0c00,RemoveIgnoredTest
commons-io,8f8480c54e3eed07ab07d88e821c0e0f8c6b284c,RemoveIgnoredTest
commons-io,1170279dc85c2bbdea594b053c56b379a72a2104,AddAssertionMessage
commons-io,2e11ed7e7e2d3532b51ae22421d2f78017f5b50f,RemoveIgnoredTest
commons-io,f7c09b93c2386c6928a082e96d1ddd0925a19092,AddAssertionMessage
commons-io,50d97cae83e3e6d26c062b5def3e8a29afed00ee,RemoveRedundantPrint
commons-io,83f7246c3e9fe1d3f1ad6cf7ea0715a573fe2f2a,RenameTestClass
commons-io,ea84049a791cfe83d9fb93e0cdea74dd362b0692,RenameTestClass
commons-io,4a72ffcacd1959970b2dd8abe5f88ff9ef88f78b,RemoveRedundantPrint
commons-io,f38ef9b7478354cbecaa57fa9282e968e7ab8aee,RemoveRedundantPrint
commons-io,4cd33ce31d4245281432320a7f4f4cf6b541c690,RemoveRedundantPrint
commons-io,4e1a5df32b5ac63f335fceebeee70a5d0a7c5232,RemoveRedundantPrint
commons-io,fe44f3401d6d2b6c66eca32058de5bcd1f6facb9,RenameTestClass
commons-io,469ee761f04f1c3835b9dfd016a6efbec33a9d7b,RemoveRedundantPrint
commons-io,65c6dc37ee499861e46661bbe73c339818707b89,RemoveRedundantPrint
commons-io,b901739a6779843da45a917a141cfd17114909de,AddAssertionMessage
commons-io,506478890c3846f947a3b6e0569ddcb8693f9a21,RemoveRedundantPrint
